,Budget FAJ (en euros),Montant des aides individuelles attribuées (en euros),Nombre d'aides individuelles attribuées (2),Montant moyen de l'aide individuelle attribuée (en euros),Nombre de bénéficiaires du FAJ,Part de l'ensemble des jeunes de 20 à 24 ans vivant chez les parents en %,Population étudiante,Taux pauvreté département,Population étudiante sous le seuil de pauvreté,Loyer moyen m2 appartement,Loyer moyen m2 maison,Consommation énergétique moyenne
Ain,457200.0,252328.0,1520.0,166.01,971.0,55.59,3183.0,10.5,334.215,13.6,13.7,4.395063689979555
Allier,198034.0,147222.06,1397.0,105.38,778.0,40.77,3857.0,15.3,590.121,10.8,9.8,5.073961465404198
Ardèche,271930.93,152403.0,1203.0,126.69,694.0,53.46,1415.0,14.3,202.345,10.4,11.0,3.6967387618657255
Cantal,108000.0,32147.3,195.0,164.86,155.0,42.94,1431.0,13.2,188.892,9.6,9.7,3.4349827922662923
Drôme,505023.39,196800.26,891.0,220.88,845.0,51.33,7920.0,14.4,1140.48,11.3,11.9,4.125585521247786
Isère,763902.0,371867.0,1968.0,188.96,1339.0,44.7,63081.0,11.3,7128.153,13.2,13.4,3.888683306265823
Loire,390000.0,195077.0,1186.0,164.48,816.0,47.85,29122.0,15.0,4368.3,10.8,10.8,4.3591531167564295
Haute-Loire,116454.99,39989.21,197.0,202.99,179.0,56.54,1623.0,11.9,193.137,9.8,9.8,3.947151151567364
Puy-de-Dôme,684875.22,384209.75,2220.0,173.07,1541.0,34.98,40182.0,13.2,5304.024,11.6,10.7,4.444951565799846
Rhône,88893.0,25331.62,185.0,136.93,,39.91,164468.0,14.1,23189.988,16.0,15.0,4.2199306556882235
Savoie,195626.87,96754.87,801.0,120.79,617.0,46.53,13196.0,10.3,1359.188,13.5,13.2,4.4066431874876635
Haute-Savoie,300000.0,213585.0,1287.0,165.96,840.0,50.35,9046.0,9.4,850.324,15.8,18.4,4.587153652227175
Côte-d'Or,431315.0,197790.0,1417.0,139.58,737.0,36.0,36739.0,11.5,4224.985,12.2,11.6,4.688141749251642
Doubs,225763.0,217974.0,1090.0,199.98,784.0,38.16,25960.0,12.2,3167.12,11.8,12.4,3.9884778443200126
Jura,71740.85,71740.85,527.0,136.13,322.0,44.8,1881.0,11.2,210.672,10.9,11.3,4.053572750470985
Nièvre,174724.0,102923.48,1250.0,82.34,883.0,41.58,2277.0,15.5,352.935,10.0,9.7,4.92083183654346
Haute-Saône,70250.0,50899.68,371.0,137.2,258.0,49.63,1019.0,13.0,132.47,10.0,9.7,3.635555187761642
Saône-et-Loire,232821.0,167465.0,1029.0,162.75,754.0,48.04,4921.0,12.8,629.888,10.3,10.2,5.216047112948083
Yonne,141186.01,,,,,48.89,2110.0,14.3,301.73,11.0,10.6,5.012917071167538
Territoire de Belfort,244505.16,76091.17,1137.0,66.92,389.0,42.1,5389.0,14.8,797.572,11.7,12.1,4.654387936966665
Côtes d'Armor,490000.0,322073.0,2837.0,113.53,1492.0,47.06,8172.0,12.1,988.812,10.9,10.2,4.009124723293404
Finistère,1066608.0,936353.0,5003.0,187.16,2522.0,41.26,32021.0,11.0,3522.31,11.3,11.1,3.9917090840715175
Ille-et-Vilaine,738711.0,,3813.0,,1975.0,33.18,71030.0,10.7,7600.21,13.6,11.5,3.8883995113230965
Morbihan,427000.0,356869.54,2658.0,134.26,1608.0,47.57,15701.0,11.5,1805.615,12.8,11.8,4.1639577911742425
Cher,238689.0,190390.0,1463.0,130.14,871.0,45.33,4181.0,14.0,585.34,10.8,9.8,4.995884759806269
Eure-et-Loir,110000.0,,,,450.0,54.64,2660.0,11.8,313.88,12.0,11.8,4.790510872569493
Indre,140053.74,85044.81,348.0,244.38,281.0,45.21,1747.0,14.6,255.062,9.8,9.0,4.595795194721248
Indre-et-Loire,249980.0,180000.0,705.0,255.32,,37.41,32588.0,12.4,4040.912,12.5,11.2,4.399662268616724
Loir-et-Cher,313893.0,137124.13,535.0,256.31,420.0,45.82,3256.0,12.5,407.0,10.7,10.0,4.713925296543082
Loiret,442031.0,204828.3,2628.0,77.94,1267.0,44.99,20362.0,13.2,2687.784,12.1,11.5,4.792323553773391
Corse du sud,137108.0,115730.0,248.0,466.65,225.0,62.96,549.0,16.3,89.487,14.7,13.9,3.19265549019364
Haute Corse,41635.98,40646.36,321.0,126.62,55.0,54.25,5002.0,20.1,1005.402,13.8,14.0,2.8831626031374564
Ardennes,115000.0,,463.0,,350.0,53.12,2069.0,18.3,378.627,10.0,9.5,5.01280441201208
Aube,390443.0,131819.0,1062.0,124.12,655.0,40.51,9256.0,16.2,1499.472,11.8,10.6,4.505282850243133
Marne,,234578.0,1079.0,217.4,555.0,37.3,30997.0,14.2,4401.574,12.0,11.0,4.57668169095223
Haute-Marne,25000.0,24329.85,154.0,157.99,104.0,44.07,1032.0,15.0,154.8,9.7,9.2,4.205304453044593
Meurthe-et-Moselle,290226.32,123772.17,1210.0,102.29,745.0,39.55,53153.0,14.6,7760.338,12.0,11.3,5.582982634276854
Meuse,99498.0,34936.26,182.0,191.96,,50.21,1093.0,14.2,155.206,9.8,9.3,4.485329394204885
Moselle,480150.0,309230.0,5242.0,58.99,1791.0,56.35,27083.0,15.3,4143.699,11.9,11.7,5.818487502617916
Bas-Rhin,645939.0,385432.34,1816.0,212.24,1010.0,46.45,67145.0,13.2,8863.14,13.9,12.3,3.9426941641490307
Haut-Rhin,312365.68,272195.0,1174.0,231.85,685.0,57.01,13739.0,13.2,1813.548,12.4,13.3,4.737879743952076
Vosges,685265.79,189960.0,716.0,265.31,650.0,50.08,3746.0,14.9,558.154,9.9,10.0,4.6696069440041725
Aisne,500000.0,,,,,51.23,5434.0,18.0,978.12,11.1,10.1,4.549899145347033
Nord,1942387.0,1444189.0,5741.0,251.56,5352.0,48.83,149151.0,18.4,27443.784,13.7,11.2,5.20075822070635
Oise,247000.0,107589.0,632.0,170.24,,56.65,12283.0,12.8,1572.224,13.8,13.2,4.358168821327397
Pas-de-Calais,700000.0,467664.0,1457.0,320.98,1354.0,55.5,29891.0,17.8,5320.598,11.8,10.8,5.012171949716756
Somme,276635.42,217973.42,1352.0,161.22,1063.0,42.44,31486.0,15.7,4943.302,12.7,10.5,4.202094126024233
Paris,750000.0,671082.0,1876.0,357.72,1352.0,36.79,363320.0,15.4,55951.28,31.9,28.4,4.23091799397097
Seine-et-Marne,603000.0,266318.0,1973.0,134.98,1374.0,65.97,28145.0,11.7,3292.965,16.0,16.0,4.678510260511873
Yvelines,202970.0,191816.0,511.0,375.37,,67.35,35698.0,9.7,3462.706,18.4,20.1,4.901596841603534
Essonne,892975.0,746949.4,4123.0,181.17,2404.0,64.9,45465.0,13.2,6001.38,16.7,18.4,4.487988545993119
Hauts-de-Seine,,469188.96,1106.0,424.22,795.0,57.9,83230.0,11.9,9904.37,25.0,28.5,4.159671334259768
Seine-Saint-Denis,1057000.0,229450.39,1719.0,133.48,996.0,65.19,57696.0,27.6,15924.096,20.2,20.7,3.583580277726253
Val-de-Marne,300000.0,321366.77,867.0,370.67,944.0,60.66,60550.0,16.6,10051.3,21.7,23.4,3.88829747004145
Val-d'Oise,102000.0,67472.0,,,667.0,69.16,32531.0,17.0,5530.27,17.6,19.4,4.278317175504216
Calvados,180000.0,107148.0,787.0,136.15,748.0,39.6,35914.0,11.9,4273.766,13.0,12.0,4.55730897684179
Eure,,254819.0,1407.0,181.11,,54.49,3418.0,12.3,420.414,11.9,11.8,4.330942258635112
Manche,343384.73,150052.16,763.0,196.66,531.0,43.7,3996.0,11.4,455.544,10.8,10.0,4.227619455309952
Orne,275000.0,114674.84,729.0,157.3,471.0,44.43,2923.0,15.0,438.45,9.9,9.2,3.9652210729965707
Seine-Maritime,1157200.0,,4851.0,,2236.0,43.36,58246.0,14.6,8503.916,12.3,12.0,4.282592571433215
Charente,378836.91,230866.41,4971.0,46.44,1260.0,43.07,4094.0,14.6,597.724,10.7,9.6,4.529789278992403
Charente-Maritime,428926.0,230384.0,882.0,261.21,607.0,40.28,15924.0,12.4,1974.576,13.1,11.7,4.55740239983697
Corrèze,131623.0,33718.0,85.0,396.68,,42.07,3341.0,13.1,437.671,10.2,9.9,4.4072801010529705
Creuse,55000.0,32950.52,231.0,142.64,153.0,43.99,939.0,18.3,171.837,9.2,8.9,3.736153074985465
Dordogne,186000.0,93914.0,590.0,159.18,,45.25,3287.0,16.1,529.207,10.6,9.9,4.44477052093402
